Province,Name,Description,Image Path,Conservation Status
Ontario,Moose,"""The moose is the largest member of the deer family, known for its massive size, long legs, and distinctive broad, palmate antlers (in males).""",src/resources/Ontario/moose.jpg,Least Concern
Ontario,Beaver,"""The beaver is a large, semi-aquatic rodent known for building dams, lodges, and canals. It has strong teeth for gnawing on wood.""",src/resources/Ontario/beaver.jpg,Least Concern
Ontario,Eastern Wolf,"""The Eastern wolf is a subspecies of the grey wolf, smaller than its western counterpart, and is native to Ontario's forests.""",src/resources/Ontario/wolf.png,Not Evaluated
Ontario,Common Loon,"""Known for its haunting call, the common loon is a large water bird with striking black-and-white plumage and a sharp, pointed bill.""",src/resources/Ontario/loon.jpg,Least Concern
Ontario,Blanding's Turtle,"""Recognizable by its yellow throat and smooth, domed shell, the Blanding’s turtle is a protected species in Ontario.""",src/resources/Ontario/turtle.jpg,Near Threatened
Quebec,Canada Lynx,"""A medium-sized wildcat with large paws adapted for walking on snow. It has tufted ears and a thick fur coat that helps it survive the cold Quebec winters.""",src/resources/Quebec/lynx.jpg,Least Concern
Quebec,Atlantic Puffin,"""A small seabird with a colorful beak and strong swimming ability. Often called the 'clown of the sea,' it is a well-known bird of the Gulf of St. Lawrence and the Quebec coast.""",src/resources/Quebec/puffin.jpeg,Vulnerable
Quebec,Black Bear,"""One of Quebec's most common large mammals, the black bear is highly adaptable and can be found in various forested environments. It hibernates during the winter.""",src/resources/Quebec/bear.jpg,Least Concern
Quebec,Harlequin Duck,"""A strikingly colored duck with white markings on a dark body. It prefers fast-moving streams and coastal waters, making it unique among waterfowl.""",src/resources/Quebec/duck.jpg,Near Threatened
Quebec,Striped Skunk,"""A small, black-and-white mammal known for its distinctive stripe pattern and its ability to spray a foul-smelling liquid as a defense mechanism. It is nocturnal and forages at night.""",src/resources/Quebec/skunk.jpg,Least Concern
Nova Scotia,Whte-tailed Deer,"""A graceful and common deer species, known for its distinctive white tail that it raises when alarmed. They are highly adaptable and found throughout the province.""",src/resources/NovaScotia/deer.jpg,Least Concern
Nova Scotia,Bald Eagle,"""A powerful bird of prey and the national symbol of the United States, the bald eagle is also commonly found in Nova Scotia. It has sharp talons and an impressive wingspan, making it a dominant predator in its environment.""",src/resources/NovaScotia/eagle.jpg,Least Concern
Nova Scotia,Eastern Coyote,"""Larger than western coyotes, the Eastern coyote is a top predator in Nova Scotia, often mistaken for a wolf due to its size. It is highly adaptable and thrives in various environments.""",src/resources/NovaScotia/coyote.jpg,Least Concern
Nova Scotia,Harbor Seal,"""A playful marine mammal commonly seen along Nova Scotia’s coast. Harbor seals are excellent swimmers and often rest on rocky shores or floating ice.""",src/resources/NovaScotia/seal.jpeg,Least Concern
Nova Scotia,Snowshoe Hare,"""This small mammal is well adapted to Nova Scotia’s seasons, with fur that changes from brown in summer to white in winter for camouflage. It is a vital prey species for many predators.""",src/resources/NovaScotia/snowshoe.jpg,Least Concern
Manitoba,Plains Bison,"""One of the most iconic animals of the prairies, the plains bison was nearly driven to extinction but has been reintroduced in conservation areas like Riding Mountain National Park.""",src/resources/Manitoba/bison.jpg,Near Threatened
Manitoba,Gray Wolf,"""Found in the boreal forests of Manitoba, gray wolves play a crucial role in the ecosystem by keeping prey populations in check.""",src/resources/Manitoba/wolf.jpeg,Least Concern
